redshift,scale_factor,system_id,sep_BH1_BH2_com,sep_BH1_BH3_com,sep_BH2_BH3_com,sep_BH1_BH2,sep_BH1_BH3,sep_BH2_BH3,min_separation,max_separation,mean_separation,separation_ratio,min_separation_com,max_separation_com,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,BH1_id,BH2_id,BH3_id,halo_id,halo_mass
0.12,0.8928571428571428,1,8.185034216790052,10.496354597092266,2.5631330219953457,7.308066264991118,9.371745175975237,2.2885116267815584,2.2885116267815584,9.371745175975237,6.322774355915971,4.095126748014456,2.5631330219953457,10.496354597092266,47692420.08,849309678.3,99108396.27,1.6685558088498796e+40,1.768997178903528e+43,1.872158080637328e+43,1981813865.0,1981810195.0,1981815303.0,19715.0,
0.12,0.8928571428571428,2,7.997616427695904,9.289771615209398,1.4229123031229085,7.140728953299914,8.294438942151247,1.2704574135025968,1.2704574135025968,8.294438942151247,5.568541769651254,6.528702854575687,1.4229123031229085,9.289771615209398,3244397.895,502183295.40000004,64511640.0,7.838204442518342e+40,2.3179880920754115e+43,3.6555647184431586e+43,1984553205.0,1981811972.0,1981834893.0,84183.0,
0.13,0.8849557522123894,0,14.816628343570496,15.78249944896265,11.658647387848411,13.112060481035838,13.966813671648364,10.3173870688924,10.3173870688924,13.966813671648364,12.4654204071922,1.353716166543681,11.658647387848411,15.78249944896265,43379697.480000004,343942614.0,14492181.527999999,4.914883776462625e+40,5.693048677220408e+43,3.5207517151543834e+43,1981812524.0,1981809800.0,1981810643.0,53099.0,
0.16,0.8620689655172414,0,3.685627478045141,75.11899928756117,75.47549033225248,3.177265067280294,64.75775800651824,65.06507787263145,3.177265067280294,65.06507787263145,44.33336698214333,20.47832852936204,3.685627478045141,75.47549033225248,176066203.26000002,811867042.8,170035758.69,7.659337732012761e+40,4.131631592561867e+43,1.3536989843282954e+43,1981808997.0,1981808792.0,1982312484.0,85675.0,
0.16,0.8620689655172414,1,15.409098487590256,15.37740279239994,3.2818379193348624,13.283705592750222,13.256381717586155,2.829170620116261,2.829170620116261,13.283705592750222,9.789752643484212,4.6952649296931925,3.2818379193348624,15.409098487590256,70711527.17999999,2013061832.9999998,26091573.509999998,1.1647524175952832e+41,4.692044538790393e+45,5.541702003716974e+43,1981809775.0,1981810355.0,1981816385.0,52745.0,
0.16,0.8620689655172414,2,8.204493541092184,17.205763667307654,10.907023197518388,7.072839259562228,14.832554885610048,9.402606204757232,7.072839259562228,14.832554885610048,10.43600011664317,2.0971146580995685,8.204493541092184,17.205763667307654,9150577.914,2071480707.0,63345452.73,3.889633863053335e+42,3.733254026440363e+44,4.746083392176118e+43,1982123566.0,1981809013.0,1981809455.0,55214.0,
0.17,0.8547008547008548,0,2.029972848663658,99.31610285499765,99.81676145496434,1.7350195287723573,84.8855579957245,85.31347132902935,1.7350195287723573,85.31347132902935,57.31134961784207,49.171476121305886,2.029972848663658,99.81676145496434,14993182.110000001,811172148.9,168040278.26999998,1.4787974416153295e+40,7.193120703979384e+44,2.21119032409472e+43,1981815280.0,1981808792.0,1982312484.0,85733.0,
0.17,0.8547008547008548,1,1.341152875073165,6.13100567096578,7.026344809320905,1.1462845086095428,5.24017578715024,6.005422913949492,1.1462845086095428,6.005422913949492,4.130627736569758,5.239033476282554,1.341152875073165,7.026344809320905,4477107.816,2068115748.0,63316780.89,1.0589206922114222e+41,3.384802191163457e+43,5.893319860949878e+43,1981844532.0,1981809013.0,1981809455.0,55282.0,
0.21,0.8264462809917356,0,5.986313787197348,2.8803561530830724,8.647650788870916,4.9473667662788,2.3804596306471675,7.146818833777616,2.3804596306471675,7.146818833777616,4.824881743567861,3.0022852485150673,2.8803561530830724,8.647650788870916,1871162109.3,63107317.169999994,8765319.975,2.908058816626799e+46,1.8515275238915712e+44,2.065799560270903e+43,1981809013.0,1981809455.0,1982123566.0,55611.0,
0.21,0.8264462809917356,1,2.433112964928624,13.110548883015205,15.066723187974953,2.0108371610980367,10.83516436612827,12.451837345433846,2.0108371610980367,12.451837345433846,8.432612957553383,6.192364845015298,2.433112964928624,15.066723187974953,14944340.427,783559574.0999999,174250718.28,2.361197526770617e+40,8.806411840686215e+43,3.71726155656006e+44,1981815280.0,1981808792.0,1981808997.0,86090.0,
