redshift,system_number,BH1_id,BH1_halo_pynbody,BH1_mass,BH1_mdot,BH1_Lbol,BH1_x,BH1_y,BH1_z,BH2_id,BH2_halo_pynbody,BH2_mass,BH2_mdot,BH2_Lbol,BH2_x,BH2_y,BH2_z,BH3_id,BH3_halo_pynbody,BH3_mass,BH3_mdot,BH3_Lbol,BH3_x,BH3_y,BH3_z,separation_BH1_BH2_kpc,separation_BH1_BH3_kpc,separation_BH2_BH3_kpc,Halo1_Mvir,Halo1_M200,Halo2_Mvir,Halo2_M200,Halo3_Mvir,Halo3_M200
1.19,1,1981810971.0,109838.0,38173170.089999996,0.004591170386541431,2.6057876058807283e+43,-1336.1888427734375,-120.46882629394531,2492.27294921875,1982033306.0,109838.0,17868250.866,0.0030706717265124436,1.742805788722234e+43,-1336.36962890625,-119.76213073730469,2493.64404296875,1982330381.0,109838.0,5441198.436,0.0032937589939306703,1.8694223129471445e+43,-1334.251953125,-120.88387298583984,2492.332275390625,1.5530615914644095,1.9817479308293167,2.7319572774224405,,,,,,
1.22,0,1981810195.0,24095.0,374874352.5,0.09342288875225296,5.3023561558467995e+44,2492.469482421875,-1021.4047241210938,-3885.6220703125,1982245919.0,24095.0,22395096.360000003,0.022178376762313483,1.2587670336784202e+44,2496.859130859375,-1016.0914916992188,-3880.89697265625,1982259168.0,24095.0,31030297.95,0.0084422351396092,4.79151716024554e+43,2494.728759765625,-1019.344482421875,-3886.53466796875,8.356195308560537,3.19088772246452,6.848652281679781,,,,,,
1.32,0,1981808792.0,101310.0,448389746.7,0.0019262236986636878,1.0932571474248156e+43,2142.178466796875,-4360.18701171875,3063.4296875,1981811455.0,101310.0,23043000.3,0.011762965232079862,6.67624732465002e+43,2141.8720703125,-4361.380859375,3062.6630859375,1983251148.0,101310.0,9635789.073,0.01144119053869746,6.493619271820648e+43,2140.966064453125,-4362.478515625,3064.879150390625,1.4514919867496408,2.970160309947677,2.6337497073165665,,,,,,
1.48,0,1981808650.0,77960.0,255527818.49999997,0.06818629359724115,3.870015350932828e+44,2240.63818359375,892.6876220703125,1970.709228515625,1982040170.0,77960.0,42657724.620000005,0.0022506778612664353,1.2774059731937367e+43,2242.05615234375,893.7991943359375,1971.463134765625,1982607859.0,77960.0,2651368.6709999996,0.0019098655867508852,1.0839728556888903e+43,2243.699951171875,889.7454223632812,1968.37109375,1.9531008451875496,4.847456446502276,5.3568516346773825,,,,,,
1.48,1,1981814168.0,114939.0,14899799.520000001,0.0021646344786694243,1.2285707610228717e+43,-3936.771240234375,-2549.9453125,2430.1923828125,1982130233.0,114939.0,8838632.277,0.004892510551314605,2.7768177355447923e+43,-3935.474853515625,-2551.3203125,2427.14453125,1982194976.0,114939.0,77352443.00999999,0.05506213893027203,3.12513427073811e+44,-3935.049072265625,-2549.25439453125,2427.970947265625,3.586173820603943,2.8944785438917937,2.2654514246253856,,,,,,
1.5,0,1981810849.0,110151.0,157666049.94,0.0038248517250011435,2.170851957173287e+43,-1022.9920654296875,-198.17881774902344,2580.341796875,1981985461.0,110151.0,16280707.013999999,0.002366891495155843,1.3433647639437142e+43,-1024.6226806640625,-198.3614501953125,2582.265625,1982072103.0,110151.0,10798272.897,0.003793651642122281,2.153143882233068e+43,-1012.1890258789062,-195.5991668701172,2576.4013671875,2.5285124693294234,11.785043415911419,14.021964918532577,,,,,,
1.59,0,1982163700.0,50151.0,6595658.126999999,0.0018339345782043127,1.0408770730639e+43,-2081.489990234375,962.8580322265625,65.32608032226562,1981817577.0,50151.0,41149466.37,0.007448161594339804,4.2273158116765013e+43,-2080.478271484375,964.3814697265625,65.90735626220703,1982224093.0,50151.0,1455404.5005,0.0021111261458226214,1.198201304260328e+43,-2081.1220703125,964.2935180664062,66.06997680664062,1.9189367795377152,1.6581214203941481,0.6698192794263556,,,,,,
1.67,0,1981808997.0,103470.0,142104607.89000002,0.13457228901369708,7.637852078738719e+44,1871.7734375,-3864.03369140625,2646.942138671875,1981811455.0,103470.0,18357942.0,0.004716461795155984,2.676898623813801e+43,1876.970458984375,-3866.798583984375,2649.470458984375,1983251148.0,103470.0,9027428.379,0.002891519172377946,1.641125069902905e+43,1875.0738525390625,-3868.5439453125,2647.150146484375,6.406720446548775,5.592709270020599,3.468032910998889,,,,,,
1.67,1,1981810590.0,58993.0,81540124.53,0.0031501451650069066,1.7879121305893674e+43,-3739.03759765625,2254.218017578125,2979.9677734375,1981826424.0,58993.0,45791516.910000004,0.00919262955346987,5.217414763369186e+43,-3740.740966796875,2252.249755859375,2982.16845703125,1982777836.0,58993.0,3761247.633,0.002600791994231964,1.4761184999602534e+43,-3738.1611328125,2253.879638671875,2977.12646484375,3.4085963243732267,2.992611807676074,5.893534303644133,,,,,,
1.79,0,1981808887.0,107263.0,95596095.86999999,0.029036864418624905,1.648030786169323e+44,-1443.85791015625,-2527.238525390625,4166.2802734375,1982096562.0,107263.0,22714667.91,0.00326819914608324,1.854915437984657e+43,-1444.4552001953125,-2527.53857421875,4165.9560546875,1983464709.0,107263.0,9473713.533,0.004404432359934398,2.499801638401575e+43,-1450.23779296875,-2533.714111328125,4188.1298828125,0.742901398487061,23.665196973092545,23.73297898473178,,,,,,
