redshift,BH1_id,BH2_id,BH3_id,BH1_halo,BH2_halo,BH3_halo,num_unique_halos,config_type,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,sep_BH1_BH2_kpc,sep_BH1_BH3_kpc,sep_BH2_BH3_kpc,min_separation,max_separation,mean_separation,Halo1_Mvir,Halo1_M200,Halo1_Rvir,Halo1_R200
1.59,1982163700.0,1981817577.0,1982224093.0,50151.0,50151.0,50151.0,1,All in same halo,6595658.126999999,41149466.37,1455404.5005,1.0408770730639e+43,4.2273158116765013e+43,1.198201304260328e+43,1.9189367795377152,1.6581214203941481,0.6698192794263556,0.6698192794263556,1.9189367795377152,1.4156258264527395,,,,
1.67,1981808997.0,1981811455.0,1983251148.0,103470.0,103470.0,103470.0,1,All in same halo,142104607.89000002,18357942.0,9027428.379,7.637852078738719e+44,2.676898623813801e+43,1.641125069902905e+43,6.406720446548775,5.592709270020599,3.468032910998889,3.468032910998889,6.406720446548775,5.1558208758560875,,,,
1.67,1981810590.0,1981826424.0,1982777836.0,58993.0,58993.0,58993.0,1,All in same halo,81540124.53,45791516.910000004,3761247.633,1.7879121305893674e+43,5.217414763369186e+43,1.4761184999602534e+43,3.4085963243732267,2.992611807676074,5.893534303644133,2.992611807676074,5.893534303644133,4.098247478564478,,,,
1.79,1981808887.0,1982096562.0,1983464709.0,107263.0,107263.0,107263.0,1,All in same halo,95596095.86999999,22714667.91,9473713.533,1.648030786169323e+44,1.854915437984657e+43,2.499801638401575e+43,0.742901398487061,23.665196973092545,23.73297898473178,0.742901398487061,23.73297898473178,16.04702578543713,,,,
1.79,1981808997.0,1981810104.0,1981870146.0,103286.0,103286.0,103286.0,1,All in same halo,126468300.48,159693387.96,7335331.866,2.861109687621174e+43,5.184888623274225e+44,2.6233387327239835e+43,29.771212925881258,7.5789866803082155,25.095447537794143,7.5789866803082155,29.771212925881258,20.815215714661207,,,,
1.79,1981810910.0,1981817577.0,1982667197.0,50756.0,50756.0,50756.0,1,All in same halo,11513416.284,31876515.449999996,3757145.967,2.409421182563657e+43,9.857016989760215e+44,1.3998931388674898e+43,2.9524808107358003,1.9605550113082344,3.1174961532751166,1.9605550113082344,3.1174961532751166,2.6768439917730507,,,,
1.9,1981808997.0,1981815280.0,1982097852.0,103479.0,103479.0,103479.0,1,All in same halo,119169724.32,13097854.020000001,9537926.508,3.01402584209425e+43,2.5686856169587613e+43,1.460153090096669e+43,6.16105234235961,3.7172678951181855,5.193505672820186,3.7172678951181855,6.16105234235961,5.023941970099327,,,,
1.9,1981810590.0,1982495406.0,1982599482.0,58948.0,58948.0,58948.0,1,All in same halo,37333125.0,10735772.268000001,4259281.476,4.220686107580606e+44,3.4448213082438463e+43,1.710485304754327e+43,2.9264686500177555,1.7161969383244444,3.0069376081800585,1.7161969383244444,3.0069376081800585,2.549867732174086,,,,
1.9,1981814060.0,1981860970.0,1981871678.0,62831.0,62831.0,62831.0,1,All in same halo,204557649.6,6805261.223999999,39815827.59,6.348252862011878e+43,1.1045087023761345e+43,2.255695933590715e+43,4.278714793743287,9.36001769710665,7.65386117530782,4.278714793743287,9.36001769710665,7.097531222052585,,,,
2.0,1981808889.0,1981808959.0,1982646574.0,123032.0,123032.0,123032.0,1,All in same halo,103970264.25,80100559.23,30944481.539999995,4.0113227582339094e+43,4.590136515830633e+43,4.4364897409061735e+43,4.635899100933726,17.47312207521022,13.99443681753524,4.635899100933726,17.47312207521022,12.034485997893063,,,,
2.0,1981810590.0,1981838687.0,1982777836.0,59864.0,59864.0,59864.0,1,All in same halo,29260210.05,14046633.081,2608062.2460000003,1.0687678322950802e+44,6.131123287867131e+43,1.170849039361835e+43,2.98517218522883,3.454174986822755,6.35818784350641,2.98517218522883,6.35818784350641,4.265845005185998,,,,
2.0,1981814060.0,1981871678.0,1982238544.0,62992.0,62992.0,62992.0,1,All in same halo,197317412.67000002,15786316.884,143984405.39999998,2.9796866808791844e+45,3.301511459705638e+44,1.0300801263934423e+45,11.440667167279523,3.3006519179428477,9.879332786996455,3.3006519179428477,11.440667167279523,8.206883957406275,,,,
2.01,1981808889.0,1981808959.0,1982646574.0,123025.0,123025.0,123025.0,1,All in same halo,103594543.67999999,79726232.42999999,30699178.02,6.4298929324499e+43,8.48880842446776e+44,4.2420364607710597e+43,1.0222049017287662,14.307496664846553,14.140859596140023,1.0222049017287662,14.307496664846553,9.823520387571781,,,,
2.01,1984091145.0,1981808707.0,2000729893.0,123026.0,123030.0,123026.0,2,Two halos,1432982.7234,6664291.3440000005,1615086.7382999999,1.0043460504946817e+43,2.295409214125963e+43,1.2624390779470444e+43,19.17239673280779,2.356200412967122,17.706534413424347,2.356200412967122,19.17239673280779,13.078377186399754,,,,
2.25,1981808792.0,1981808997.0,1981811455.0,102653.0,102653.0,102653.0,1,All in same halo,63778317.870000005,108912174.45,14422652.316,2.9057857752224926e+43,3.033211393947269e+43,5.314857883570488e+43,4.041832960614171,4.116625369240625,2.1728619041625383,2.1728619041625383,4.116625369240625,3.443773411339111,,,,
2.25,1981809013.0,1981810903.0,1982929044.0,73819.0,73819.0,73819.0,1,All in same halo,239529330.00000003,14327477.736,1227353.862,3.33051979762727e+44,1.8673224556498326e+43,1.155392357812548e+43,3.210339065808716,1.0597699377223169,3.2887386606587135,1.0597699377223169,3.2887386606587135,2.519615888063249,,,,
